hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
azuma,azuma（東）,東 吾妻 吾嬬,名,,"?3.4, ?3.7b; x - [1]-[2]-A. 镰仓 LHH, LHL. 江户 LHL",?3.4,东、东国（根据时代，所指范围有差异，上古为足柄山以东；通常认为来自倭建命「吾妻」之典故，似非）。,,?< azu+ma,,,,,,,,,東.a,,,方,3,1,1,,,,,aduma 阿豆麻 阿頭麻,,,,,,,,アヅマ,アズマ,爱|日?,"atui（海）, atui-pa（海的东岸）",,,,,,,
azumaya,azumaya（四阿）,四阿 東屋 阿舎,名,,4.5 (=3.4|1.3); x - [3]-(3)-A,4.5 (=3.4|1.3); x - [3]-(3)-A,亭。,,azuma+ya,,,,,,,,東+屋,東.a|屋.y,,,建,3,1,0,,,,,adumaya (四阿),,,,,,,,アヅマヤ,アズマヤ,日,,,,,,,,
azumu*,azumu*（杵）,杵,名,,x-x-x x-B-x,,（北琉球）杵。,406 | 杵.a.n | *a[d]umu | nC,,北 *a[d]umu,,,,,,,,杵.a,,,具,0,1,0,,,,,,,,,,,,,,,北琉,,,,,,,,
azusa,azusa（梓）,梓,名,,3.4; 平平平 - [0/1]-(2)-x,3.4,梓、楸。,,?< azu-sa,,,,,,,,,梓.a,,,木,4,1,0,,,,,adusa 阿豆佐 (梓),,不明 adusa 安豆左 (梓),,,,,,アヅサ,アズサ,日,,,,,,,,
"azuci 1, antsuci 2","azuti 1, antuti 2（射垜）",射垜 垜 堋 安土,名,,1 [0]-[0]-x | 2 ?4.1; 上上xx,,射箭时在箭靶后面用土构筑的山形。（八重山语应为借词，传统绣球花未在琉球分布）,,1 a+zuti ?< a(da)+zuti | 2 an+tuti ?< a(da)=n(o)+tuti,,,,,,,1 形=の+名,徒+土?,徒.a|土.t,,音节缩减,地形,3,1,0,,,,,,,,,,1 aduti 阿都智 阿津知 | 2 anduti 阿无豆知,,,1 アヅチ | 2 アムツチ,1 アズチ | 2 アンツチ,日,,,,,,,,
"bansyo 1, hansyo* 2","bansyo 1, hansyo* 2（蕃藷）",蕃藷 蕃薯,名,,,,萨摩芋。,,1 ban.syo,2 北 * pan.syo,*pan.syo,,,,,,,蕃藷.p,,清浊,草,0,1,1,,,,,,,,,,,,,,,日|北琉冲,,,蕃 汉音 pan；藷 汉音 syo,,,,,
"e 1, oe* 2, yoe* 3","e 1, oe* 2, yoe* 3（柄）",柄,名,,1.1; 上 - [0]-[0]-A x-A-x. 镰仓 H. 江户 H,1.1,柄。,1103 | 柄.j.n | *je | 1A（A：ソープは *jUe を再建。 jui の形式がある。B：枝の*jo-と同源とすればむしろ古形*jo-iの反映か？）,,1 *ye > 2 与論、沖縄一部 *w[o](C)[e] | 3 石垣、与那国 *y[o](C)[e],*y[e],,,,,,,支.y,,e/wo/o,具,2,1,0,,,,,,,,,,1 e (江),,,,1 エ,日|琉,,,,,,,,
"e 1, ya* 2","e 1, ya* 2（兄）",兄,名,,?1.2; x - x-[0/1]-x,?1.2,哥哥、年长者。,,,1 沖永良部 *ye | 2 沖縄 *ya,1 *ye ?< *ya-i | 2 *ya,,,1 *-i?,,,,兄.y,,被露|e/a,亲,2,1,1,,,,,1 ye 延,,,,,,,,,1 エ,日|北琉,,,,,,,"Ma. danc̆an（姻亲）, pTg *dā（年长的亲戚、姻亲）",
e,e（胞）,胞,名,,1.2,1.2,胎膜和胎盘等的总称、胞衣。,873 | 胞衣.i.n | *ira | oX,,*ira,*ira,,,,,,,胞.i,,,器官,3,1,0,,,,,[ye] (胞),,,,,e (兄),,,,エ,日|琉,,,,,,,,
e,e（餌）,餌,名,,1.3b; 去 - [1]-[1]-B,1.3b,饵食、诱饵。,,,,,,,,,,,餌.w,,,具,4,1,1,,,,,(餌),,,,,we 恵,,,ヱ,エ,日,,,,,,,"Ma. be, pTg *be（饵）, OTk. meN, Tk. ben, beŋ, pTk *beŋ（饵、鸟饵）",
e,e（絵）,絵 画,名,,1.3a; 平 - [1]-(0)-B B-B-x,1.3a,画、画面。,,,*we > 南 *ye,*w[e],,,,,,,絵.w,,,艺术,4,1,1,,,,,we 畫,,遠江 we 畫,,,,,,ヱ,エ,汉|日|琉,,,OC 畫 (*C-gʷˤrek-s)；繪 畫 吴音 we,,,,,
e,e（榎）,榎,名,,1.1; x - [0]-[0]-x,1.1,朴树。,,,,,,,,,,,榎.e,,,乔木,2,1,0,,,,,,,,,,e 衣,,,,エ,日,,,,,,,,
e,e（江）,江,名,,?1.1; 上 - [1]-[0]-x,?1.1,原本可指河、海、湖、壕沟等，尤指进入陆地的部分。,,,,,,,,,,,支.y,,,地形,2,1,0,,,,,ye 延 曳,,,,,,,,,エ,日,,,,,,,,
e,e（荏）,荏,名,,?1.1; 上 - x-[1]-x,?1.1,荏、白苏。,,,,,,,,,,,荏.e,,,草,2,1,0,,,,,,,,,,e 衣,,,,エ,日,,,,,,,,
e,e（嘆 1）,,感叹,,,,声：叹息、痛苦、打招呼（及回应招呼）、感到惊喜、反问、承诺、肯定时发出的声音、吞吞吐吐时作为过渡的声音。,,,,,,,,,,,e,,,,3,1,0,,,,,e 愛,,不明 e 衣,,,,,,,エ,日,,,,,,,,
e,e（嘆 2）,,感叹,,,,声：表示叹息。,,,,,,,,,,,we,,,,3,1,0,,,,,we 衛 惠,,,,,,,,ヱ,エ,日,,,,,,,,
e,e（笑）,笑,名,,,,笑。,,,,,,,,,,,we,笑,,表情,3,1,0,,,,,we 惠,,,,,,,,ヱ,エ,日,,,,,,,,
e,e（枝）,枝 肢,名,,?1.2; x - x-[0/1]-x,?1.2,树枝、四肢。,,,,,,,,,,,支.y,,,植物器官|器官,2,1,0,,,,,ye 延 (支),,,,,,,,,エ,日,,,,,,,,
e,e（蜘蛛巣）,,名,,,,（九州）蜘蛛巢、蜘蛛丝。,,,,,,,,,,,蜘蛛巣.e,,,分泌物,1,1,0,,,,,,,,,,,,,,エ,九,,,,,,,,
ebak-*,ebak-*（吐）,吐,自动,,,,（南琉球宫古）呕吐。,6227 | 吐.w.v | *webak-,,宮古 *we+bak-,,,,,,,we+吐,we,嘔,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ebari,ebari,,名,,,,（方言）蜘蛛巢、蜘蛛丝。,,e+bar-i,,,,,*-i,,名=の+名,蜘蛛巣+張,蜘蛛巣.e|張.p,,,分泌物,1,1,0,,,,,,,,,,,,,,エバリ,日,,,,,,,,
ebaru,ebaru,,他动,五段（四段）,,,（青森県）用为了给田施肥而挖沟挖出来的土做田垄、（岩手県九戸郡）施肥后用锄头耕田。,,,,,,,,,,?+墾,墾.p,,,,1,1,0,,,,,,,,,,,,,,エバル,东北日,,,,,,,,
ebe*,ebe*（威部）,威部,名,,,,（琉球）神的所在（灵石等）。,757 | 威部.i.n | *ebe | C?（多良間 C、石垣・竹富 BC）,,*[e]be,,,,,,,,神在.e,,,信仰,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
ebera*,ebera*（柄篦）,柄篦,,,,,（琉球）杓子。,1105 | 柄箆.j.n | *(j)e+pera | oC,,,,,,,,,柄+篦,支.y|篦.p,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
ebere-*,ebere-*,,他动,,,,（北琉球冲绳）吝啬。,,,*[e]b[e]re-,,,,,,,,物惜.e,,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
ebereya*,ebereya*,,名,,,,（北琉球冲绳）吝啬之人。,,,*[e]bere+ya,,,,,,,物惜+屋,物惜.e|屋.y,,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
ebi,ebi（海老）,海老 蝦 鰕,名,,2.1; 上上 - [0]-[0]-A A-A-x,2.1,虾。,591 | 海老.i.n | *ebi | 1A,,*ebi,*[e]bi,,,,,,,蝦.e,,,节肢,2,1,0,,,,,,,,,,ebi 衣比,,,,エビ,日|琉,,,,,,,,
ebi,ebi（葡萄）,葡萄,名,,[0]-x-x,,葡萄。,,,,,,,,,,,葡萄.e,,,藤,3,1,0,,,,,(蒲陶),,,,,ebi 衣比,,,,エビ,日,,,,,,,,
ebira,ebira,,名,,,,腿的外侧、（久留米）腰。,,,,,,,,,,,腿/腰.e,,,器官,2,1,0,,,,,,,,,,,ebira,,,エビラ,日,,,,,,,,
ebira,ebira（箙）,箙,名,,3.7a; 平上平 - [0/1]-[0]/(2)-x. 江户 LHL,3.7a,系在腰上的箱形容器，用于收纳箭。,,e+bira,,,,,,,,矢+?,矢.y,,,具,2,1,0,,,,,,,,,,,ebira,,,エビラ,日,,,,,,,,
ebiru,ebiru（笑）,笑,自动,上一段,,,（成熟的果实等）裂开。,,e-bi-,,,,,*-mpǝi-,,,,we,笑,,,3,1,0,,,,,,,,,,,,ebi-,ヱビル,エビル,日,,,,,,,,
ebiru*,ebiru*（海老）,海老,名,,,,（南琉球八重山）虾。,592 | 海老.i.n.2 | *ebiri,,八重山 *ebi-ru,,,,*-ru,,,,蝦.e,,,节肢,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
ebisu,ebisu（恵比寿）,恵比須 恵比寿 夷 戎 蛭子,名,,,,七福神之一；从异乡漂流而来、带来渔获的神；（东北，渔民用语）鲸鱼等。（琉球语或为借词）,590 | 田舎.i.n.2 | *ebes[u],,,,,,,,,,夷.e,,,神名,2,1,0,,,,,,,,,,ebisu,,,,エビス,日,,,,,,,,
ebitori,ebitori,,名,,,,翠鸟（= kawasemi）。,,ebi+tori,,,,,,,,?+鳥,鳥.t,,,鸟,1,1,0,,,,,,,,,,,,,,エビトリ,东日,,,,,,,,
ebo,ebo,,名,,,,（中国、兵庫県佐用郡、赤穂郡、鳥取県、岩美郡、気高郡、岡山県）小树枝、树、木头或竹子的尖端、（京都府竹野郡）果柄。,,,,,,,,,,,先端.e,,,植物器官,1,1,0,,,,,,,,,,,,,,エボ,中日,,,,,,,,
"eda 1, yade 2","eda 1, yade 2, yoda* 3（枝）",枝 肢,名,,2.1; 上上 - [0]-[0]-A A-A-A,2.1,树枝、四肢、一族、子孙。,1137 | 枝.j.n | *j[o]da | 1A,1 e-da | 2 ya-de,1 *ye-da | 3 *yo-da,*y[e]-da,,,*-da,,,,支.y,,e/o,植物器官|器官|亲,3,1,0,,,,,1 yeda 延陀,,2 不明 yade 夜提,,,,,,,1 エダ | 2 ヤデ,日|琉,,,,,,,,
"edo 1/2, yodo* 3","edo 1, yodo* 2（餌）",餌,名,,,,饵食、诱饵。,4969 | 餌.w.n | *wedo,e-do,1 *we-do > 2 沖永良部 *yo-do,*w[e]-d[o],,,*-d[o],,,,餌.w,,e/o,具,3,1,0,,,,,,,,,,,1 edo,,1 ヱド,1 エド,日|琉,,,,,,,,
edoreru,edoreru,,自动,,,,（越后）（苗、食物等）腐烂、馊。,,edore-,,,,,*-i-,,,,腐.e.1,,,,1,1,0,,,,,,,,,,,,,,エドレル,东日,,,,,,,,
edoru,edoru,,自动,,,,（北陆、岐阜）抱怨、发怒、（苗、食物等）腐烂、馊、感到闷热。,,edor-,,,,,,,,,腐.e.1,,,,1,1,0,,,,,,,,,,,,,,エドル,央日,,,,,,,,
ee,ee,,感叹・名,,,,（感叹）声：表示惊讶、悲伤、懊悔、喜悦、想到什么、向对方提问、反问、肯定、同意、说不出下一句话或难以启齿而犹豫的时候发出的声音、（方言、琉球）呼唤；（名，方言）呕吐。,,ee,*ee,*ee,,,,,,e+e,e,,,,2,1,0,,,,,,,,,,,ee,,,エエ,日|琉,,,,,,,,
eei,eei,,感叹,,,,声：用力时或下定决心做事时发出的声音。,,ee-i,,,,,*-i,,,,e,,,,2,1,0,,,,,,,,,,,,eei,,エエイ,日,,,,,,,,
een,een,,感叹,,,,声：咳嗽、哭泣。,,ee-n,,,,,*-n,,,,e,,,,2,1,0,,,,,,,,,,,,een,,エエン,日,,,,,,,,
eenhahan,eenhahan,,副・名,,,,（副）声：马嘶声；（名，幼儿语）马。,,ee-n+ha+ha-n,,,,,*-n+CP-n,,,e+ha+ha,e|ha,,,,2,1,0,,,,,,,,,,,,eenhahan,,エエンハハン,日,,,,,,,,
eeQ,eeQ,,感叹,,,,声：表示、吃惊反问、生气、懊悔的时候发出的声音。,,ee-Q,,,,,*-Q,,,,e,,,,2,1,0,,,,,,,,,,,,eeQ,,エエッ,日,,,,,,,,
eeto,eeto,,感叹,,[1]-[2]-x,,声：说不出下一句话，思考的时候发出的声音。,,ee+to,,,,,,,,e+to,e|to,,,,2,1,0,,,,,,,,,,,,eeto,,エエト,日,,,,,,,,
ega,ega,,名,,,,（东日本）作为蚕座用的竹制器具。,,,,,,,,,,,蚕座.e,,,具,2,1,0,,,,,,,,,,,,ega,,エガ,东日,,,,,,,,
egaeru,egaeru,,自动,,,,（岩手県上閉伊郡、気仙郡、秋田県鹿角郡）（鱼等）腐烂有难闻的气味、（饭等）馊了。,,egae-,,,,,*-i-,,,,腐.e.2,,,,1,1,0,,,,,,,,,,,,,,エガエル,东北日,,,,,,,,
egahara,egahara,,名,,,,幼儿的腹部疾病。,,ega+hara,,,,,,,,?+腹,腹.p,,,疾,2,1,0,,,,,,,,,,egafara 衣賀波良,,,,エガハラ,日,,,,,,,,
ege,ege,,名,,,,（方言）鱼鳃。,,,,,,,,,,,鰓.e.2,,,器官,1,1,0,,,,,,,,,,,,,,エゲ,日,,,,,,,,
egeru,egeru,,自动,下一段,,,饱。,,ege-,,,,,,,,,,,,,2,1,0,,,,,,,,,,,,尾張 ege-,,エゲル,日,,,,,,,,
egetsunai,egetunai,,形,イ,,,给人过度困扰、不快的感觉，特指说话方式和做法都很露骨；厚脸皮又不客气的；无同情心又很残酷的；（方言）可怜的、卑鄙贪婪的、执拗的、束手无策的、靠不住的。,,egetu-na-,,,,,*-na-,,,,迷惑.e,,,,2,1,0,,,,,,,,,,,,egetuna-,,エゲツナイ,日,,,,,,,,
ego,ego,,名,,,,山、溪谷等的凹陷，也表示那里形成的水洼；河沟、沟渠，也表示利用河沟的船坞或修船设施；灌溉用水沟、田地的水口。,,,,,,,,,,,谷.e,,,地形,2,1,0,,,,,,,,,,,,ego,,エゴ,日,,,,,,,,
ego,ego（野茉莉）,,名,,[1]-x-x,,野茉莉。,,,,,,,,,,,野茉莉.e,,,灌木,3,1,0,,,,,,,,,,,,ego,ヱゴ,エゴ,日,,,,,,,,
"egobansyoa* 1, yogobansyoa* 2","egobansyoa* 1, yogobansyoa* 2",,名,,,,（北琉球，奄美大岛以南）海芋、毒芋。,,,1 奄美大島以南 *wego+ban.syo-a > 2 沖永良部 *yogo+ban.syo-a,,,,*-a,,形=の+名,,黒慈姑.w|蕃藷.p,不食芋,we/yo,草,0,1,0,,,,,,,,,,,,,,,北琉奄,,,,,,,,
egoego,egoego,,副,,[1]-x-x,,态：因肥胖而动作迟缓；上下前后摇晃肩膀。,,ego+ego,,,,,,,,ego+ego,ego,,,,2,1,0,,,,,,,,,,,,egoego,,エゴエゴ,日,,,,,,,,
egonoki,egonoki,,名,,[1/4]-x-x,,野茉莉。,,ego=no+ki,,,,,,,,野茉莉=の+木,野茉莉.e,,,灌木,3,1,0,,,,,,,,,,,,egonoki,ヱゴノキ,エゴノキ,日,,,,,,,,
egocara,egotyara,,副,,,,态：难以控制肥胖的身体，动作迟钝的样子。,,ego+tyara,,,,,,,,ego+tyara,ego|tyara,,,,2,1,0,,,,,,,,,,,,egocara,,エゴチャラ,日,,,,,,,,
"egu 1, ego 2","egu 1, ego 2",,名,,,,黑茨菇（= kuroguwai，吃起来涩口）。,,,,,,,,,,,黒慈姑.w,,u/o 交替,草本,4,1,0,,,,,1 wegu 恵具,,,,,2 wego,,,1 ヱゴ | 2 ヱグ,1 エゴ | 2 エグ,日,,,,,,,,
"egui 1, egoi 2, yogo-* 3","egui 1, egoi 2, yogo-* 3（蘞）",蘞 刳 醶,形,イ（ク）,B; B - B-B-x B-B-x,B,涩口的、刺激的、严厉的、过度的、恶心的、（琉球）痒的。,6551 | 蘞.w.a | *wegu- | 4968 | 擽.w.a | *wegau-(?),1 egu- | 2 ego-,2 *wego- > 3 奄美大島、沖永良部、沖縄島嶼 *yogo-,*wego-,,,,,,,黒慈姑.w,蘞,u/o 交替,性质,4,1,0,,,,,,,,,,1 wegu- (恵久之),,2 ego-,1 ヱゴシ | 2 ヱグシ,1 エゴイ | 2 エグイ,日|琉,,,,,,,,
egureru,egureru（抉）,抉 刳,自动,下一段（下二段）,B-x-x | egure（名词）: [0/3]-x-x,B,物体表面等有被强行挖过的地方。,,egu-re-,,,,,*-ra-i-,,,,黒慈姑.w,抉,,,3,1,0,,,,,,,,,,,,egure-,ヱグル,エグレル,日,,,,,,,,
eguriganmo*,eguriganmo*,,名,,,,（南琉球宫古）海芋、毒芋。,,,宮古 *wegu-r-i+gan.(syo)+umo,,,,,,,,黒慈姑.w|蕃藷.p|芋.u,不食芋,b/g,草,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
egurinoha*,egurinoha*,,名,,,,（南琉球八重山）海芋、毒芋。,,,八重山 *wegu-r-i=no+pa,,,,,,,,黒慈姑.w|葉.p,不食芋,,草,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
eguru,eguru,,自动・他动,,,,（自动，青森県三戸郡、島根県、岡山市、広島県高田郡、長崎県北松浦郡、対馬）强烈的涩味使喉咙刺痛；（他动，岡山県苫田郡）反对。（与 eguru（抉）可能为同一个词）,,egu-r-,,,,,*-r-,,,,黒慈姑.w,,,,1,1,0,,,,,,,,,,,,,,エギル,日,,,,,,,,
"eguru 1, yogor-* 2, wagor-* 3","eguru 1, yogor-* 2, wagor-* 3（抉）",抉 刳 剔,他动,五段（四段）,B; x - B-A-B x-B-x,B,挖、剜、挖苦、追究。（或受到 kuru（刳）的影响）,4970 | 抉.w.v | *wegur- || 6553 | 抉.w.n | *wegur-i,1 egu-r-,1 *wego-r- > 2 沖永良部、沖縄島嶼、伊良部 *yogo-r- | 3 沖縄一部 *wago-r-,*wego-r-,,,*-r-,,,,黒慈姑.w,抉,,,3,1,0,,,,,,,,,,,,1 egur-,1  ヱグル,1 エグル,日|琉,,,,,,,,
egusa,egusa,,名,,,,山薄荷（= yamahaQka）。,,e+gusa,,,,,,,名=の+名,?+草,草.k,,,草,1,1,0,,,,,,,,,,,,,,エグサ,日,,,,,,,,
eguzir-*,eguzir-*（擽）,擽,他动,,,,（南琉球宫古）使发痒。,6929 | 擽.w.v | *weguzir-(?),,*wegu+[z][i]r-,,,,,,,黒慈姑+?,黒慈姑.w,蘞,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
eheehe,eheehe,,感叹,,,,声：轻视他人或自卑而假笑。,,e+he+e+he,,,,,,,,e+he+e+he,e|he,ehe,,,2,1,0,,,,,,,,,,,,eheehe,,エヘエヘ,日,,,,,,,,
ehehe,ehehe,,感叹,,,,声：对人谄媚或自卑而假笑。,,e+he+he,,,,,,,,e+he+he,e|he,ehe,,,2,1,0,,,,,,,,,,,,ehehe,,エヘヘ,日,,,,,,,,
ehen,ehen,,感叹,,[2]-(2)-x,,声：咳嗽声、为引起他人注意的清喉咙的声音。,,ehe-n,,,,,*-n,,,e+he,e|he,ehe,,,2,1,0,,,,,,,,,,,,ehen,,エヘン,日,,,,,,,,
eheraehera,eheraehera,,副,,,,象：大笑。,,e+he+ra+e+he+ra,,,,,,,,e+he+ra+e+he+ra,e|he|ra,ehe,,,2,1,0,,,,,,,,,,,,eheraehera,,エヘラエヘラ,日,,,,,,,,
ei,ei,,感叹・副,,[1]-x-x,,（感叹）表示回应、吃惊反问、用力、决断、呼唤、强烈感动或吃惊的时候发出的声音；（副）很多。,,e-i,,,,,*-i,,,,e,,,,2,1,0,,,,,,,,,,,ei,,,エイ,日,,,,,,,,
ei,ei（鱏）,鱏 鱝 海鷂魚,名,,?2.2b; x - [1]-[1]-A,?2.2b,软骨鱼，鳐、鲼、魟、鯆。,602 | 鱏.i.n | *epi | 2A,,*[e]p[i],*[e]p[i],,,,,,,鱏.e,,,鱼,4,1,0,,,,,(鮐),,,,,ewi 衣比,,,エヒ,エイ,日|琉,,,,,,,,
eiei,eiei,,感叹,,,,声：用力、笑声、囃子詞（用于歌谣中，填充节奏的无实义音节）、吆喝、同意回应、呼唤、战场上的呐喊声。,,e-i+e-i,,,,,*-i+CP-i,,,e+e,e,,,,2,1,0,,,,,,,,,,,eiei,,,エイエイ,日,,,,,,,,
eieiou,eieiou,,感叹,,,,声：一大群人鼓劲、战场上的呐喊声。,,e-i+e-i+o-u,,,,,*-i+CP-i+CP-u,,,e+e+o,e|o,,,,2,1,0,,,,,,,,,,,eieiou,,,エイエイオー,日,,,,,,,,
eieiwa,eieiwa,,感叹,,,,声：战场上的呐喊声。,,e-i+e-i+wa,,,,,*-i+CP-i,,,e+e+wa,e|wa,,,,2,1,0,,,,,,,,,,,,eieiwa,,エイエイワー,日,,,,,,,,
einoo,einoo（鱏）,鱏,名,,x-x-x x-x-B,,（九州、北琉球奄美、南琉球八重山）龙卷风；（北琉球冲绳、南琉球宫古）内海、礁池、珊瑚礁。,597 | 竜巻.i.n | *enau || 596 | 内海.i.n | *enau | nX,ei=no+o,*[e]p[i]=no+wo,*[e]p[i]=nǝ+wǝ,,,,,,鱏=の+尾,鱏.e|尾.w,,,风,2,1,0,,,,,,,,,,,,,エヒノウヲ,エイノウオ,九|琉,,,,,,,,
einookaze*,einookaze*（鱏風）,鱏風,名,,,,（南琉球八重山）龙卷风。,,,八重山 *[e]p[i]=no+wo+kaze,,,,,,,鱏=の+尾+風,鱏.e|尾.w|風.k,,,风,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
eiou,eiou,,感叹・副,,,,（感叹）声：神乐、舞蹈等吆喝声；（副）各种各样。,,e-i+o-u,,,,,*-i+CP-u,,,e+o,e|o,,,,2,1,0,,,,,,,,,,,eiou,,,エイオー,日,,,,,,,,
eisa,eisa,,感叹,,,,声：用力时发出的吆喝声；（北琉球冲绳）冲绳本岛及其周边的盂兰盆舞的吆喝声，也指盂兰盆舞（延长是 iiyaasaasaa）。,,e-i+sa,*e-i+sa,*E-i+sa,,,*-i,,,e+sa,e|sa,esa,,,2,1,0,,,,,,,,,,,eisa,,,エイサ,日|北琉冲,,,,,,,,
eisaiyousai,eisaiyousai,,感叹,,,,声：用力移动物体时发出的吆喝声。,,e-i+sa-i+yo-u+sa-i,,,,,*-i+CP-i+CP-u+CP-i,,,e+sa+yo+sa,e|sa|yo,esa,,,2,1,0,,,,,,,,,,,eisaiyousai,,,エイサイヨーサイ,日,,,,,,,,
eisaQsa,eisaQsa,,感叹,,,,声：一边用力一边急忙地推或拉的时候，或者拼命地跑的时候发出的声音。,,e-i+sa-Q+sa,,,,,*-i+CP-Q,,,e+sa+sa,e|sa,esa,,,2,1,0,,,,,,,,,,,,eisaQsa,,エイサッサ,日,,,,,,,,
eisara,eisara,,感叹,,,,声：伴奏、推拉物体时发出的吆喝声。,,e-i+sa+ra,,,,,*-i,,,e+sa+ra,e|sa|ra,esa,,,2,1,0,,,,,,,,,,,eisara,,,エイサラ,日,,,,,,,,
eisaradou,eisaradou,,感叹,,,,声：伴奏、推拉物体时发出的吆喝声。,,e-i+sa+ra+do-u,,,,,*-i+CP-u,,,e+sa+ra+do,e|sa|ra|do,esa,,,2,1,0,,,,,,,,,,,,eisaradou,,エーサラドオ,日,,,,,,,,
eisaraei,eisaraei,,感叹,,,,声：伴奏、推拉物体时发出的吆喝声。,,e-i+sa+ra+e-i,,,,,*-i+CP-i,,,e+sa+ra+e,e|sa|ra,esa,,,2,1,0,,,,,,,,,,,,eisaraei,,エイサラエイ,日,,,,,,,,
eisaraeisa,eisaraeisa,,感叹,,,,声：伴奏、推拉物体时发出的吆喝声。,,e-i+sa+ra+e-i+sa,,,,,*-i+CP-i,,,e+sa+ra+e+sa,e|sa|ra,esa,,,2,1,0,,,,,,,,,,,eisaraeisa,,,エイサラエイサ,日,,,,,,,,
eitoko,eitoko,,名,,2 [0]-[0]/(3)-x,,用于夹铁丝、钣金、锻造材料等的工具。由钢铁制成，形状与拔钉器相似。,,e-i+to+ko,,,,,,,,e+to+ko,e|to|ko,,e/ya,具,2,1,0,,,,,,,,,,,,eitoko,,エイトコ,日,,,,,,,,
eitokona,eitokona,,感叹,,,,声：用力时的吆喝声；疲劳时或老人等活动身体的时候发出的声音。,,e-i+to+ko+na,,,,,*-i,,,e+to+ko+na,e|to|ko|na,,,,2,1,0,,,,,,,,,,,,eitokona,,エイトコナ,日,,,,,,,,
eitomoeitomo,eitomoeitomo,,感叹,,,,声：拉扯大件物品时的吆喝声。,,e-i+to+mo+e-i+to+mo,,,,,*-i+CP-i,,,e+to+mo+e+to+mo,e|to|mo,,,,2,1,0,,,,,,,,,,,eitomoeitomo,,,エイトモエイトモ,日,,,,,,,,
eitonna,eitonna,,感叹,,,,声：囃子詞之一。,,e-i+to-n+na,,,,,*-i+CP-n,,,e+to+na,e|to|na,,,,2,1,0,,,,,,,,,,,,eitonna,,エイトンナ,日,,,,,,,,
eitorieito,eitorieito,,感叹,,,,声：歌谣中使用的囃子詞。,,e-i+to+ri+e-i+to,,,,,*-i+CP-i,,,e+to+ri+e+to,e|to|ri,,,,2,1,0,,,,,,,,,,,eitorieito,,,エイトリエイト,日,,,,,,,,
eitou,eitou,,感叹・副,,,,（感叹）声：用力前进或后退时的吆喝声；（副）宾客络绎不绝；勤奋工作的样子。,,e-i+to-u,,,,,*-i+CP-u,,,e+to,e|to,,,,2,1,0,,,,,,,,,,,eitou,,,エイトー,日,,,,,,,,
"eiya 1, eiyaQ 2","eiya 1, eiyaQ 2",,感叹,,,,声：用力拉动或跳跃时发出的声音。,,1 e-i+ya | 2 e-i+ya-Q,,,,,1 *-i | 2 *-i+CP-Q,,,e+ya,e|ya,eya,,,2,1,0,,,,,,,,,,,1 eiya | 2 eiyaQ,,,1 エイヤ | 2 エイヤッ,日,,,,,,,,
eiyaeiya,eiyaeiya,,感叹,,,,声：用力激烈地拉或移动物体时的吆喝声。,,e-i+ya+e-i+ya,,,,,*-i+CP-i,,,e+ya+e+ya,e|ya,eya,,,2,1,0,,,,,,,,,,,eiyaeiya,,,エイヤエイヤ,日,,,,,,,,
eiyaou,eiyaou（副）,,副,,,,好不容易。,,e-i+ya+o-u,,,,,*-i+CP-u,,,e+漸+o,e|漸.y|o,,,,2,1,0,,,,,,,,,,,,eiyaou,,エイヤオウ,日,,,,,,,,
eiyaou,eiyaou（感叹）,,感叹,,,,声：用力时发出的吆喝声。,,e-i+ya+o-u,,,,,*-i+CP-u,,,e+ya+o,e|ya|o,eya,,,2,1,0,,,,,,,,,,,,eiyaou,,エイヤオウ,日,,,,,,,,
eiyaQ,eiyaQ,,副・名,,,[1]-x-x,（副）竭尽全力、很多、非常、好不容易、勉强；（名）挥刀互砍、剑术、战争。,,e-i+ya-Q,,,,,*-i+CP-Q,,,e+ya/漸,e|ya|漸.y,,,,2,1,0,,,,,,,,,,,1 eiya | 2 eiyaQ,,,1 エイヤ | 2 エイヤッ,日,,,,,,,,
eiyaQtou,eiyaQtou,,感叹・名,,,[1]-x-x,（感叹）声：挥刀互砍时的吆喝声；（名）挥刀互砍、剑术、战争。,,e-i+ya-Q+to-u,,,,,*-i+CP-Q+CP-u,,,e+ya+to,e|ya|to,eya,,,2,1,0,,,,,,,,,,,,eiyaQtou,,エイヤットウ,日,,,,,,,,
