hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
abota*,abota*（母）,母,名,,,,（南琉球八重山与那国）母亲。,,,与那国 *ab[o]-ta,,,,*-ta,,,,母.a.6,,,亲,0,1,1,,,,,,,,,,,,,,,南琉八,,,阿 吴音/汉音 a；母 汉音 bou,,,,,
aboci*,aboti*（叔父）,叔父,名,,,,（南琉球八重山）叔父。,15 | 叔父.a.n | *abo[d][u],,八重山 *ab[o]+ti,,,,,,,?+父,父.t,,,亲,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
abuk-*,abuk-*（湧）,,自动,,x-x-x x-B-x,,（北琉球冲绳）（饭等）喷出、沸腾涌出。,,,沖縄 *abuk- ?< *a(tu)+buk-,,,,,,形=に+动,熱+吹?,熱.a|吹.p,湧,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
abuk-*,abuk-*（蒸）,,自动,,x-x-x x-A-x,,（北琉球冲绳）闷热。,,,沖縄 *abuk- ?< *a(tu)+buk-,,,,,,形=に+动,熱+吹?,熱.a|吹.p,蒸,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
abuki,abuki,,名,,,,（八丈、九州）鲍鱼。,,,,,,,,,,,鮑.a,,,鱼,0,1,0,,,,,,,,,,,,,,,日,,,,,,,,
abumi,abumi（鐙）,鐙,名,,3.4; 平平平 - [0]-[0]-x. 江户 HHL,3.4,马镫。,16 | 鐙.a.n | *abumi | 4C,a+bum-i,*a+bum-i,*a+N+pum(a)-i,,,*-i,,名=が+动,足+踏,足.a|踏.p,,,具,2,1,0,,,,,abumi1 安夫美,,,,,,,,,アブミ,日|琉,,,,,,,,
abunai,abunai（危）,危,形,イ（ク）,?A; x - B-B-A B-A-x,?A,危险的、令人不安的、不稳定的、行将就木的、难以实现的。,17 | 危.a.a | *abuna- | 1,abu-na-,北 *abu-na-,*abu-na- ?< *a(ya)+N+(ǝ)pǝ-na-,,,*-na-,,拟=に+形,怪+大?,怪.a|大.ǝ,危,,,3,1,0,,,,,,,,,,,abuna-,,アブナシ,アブナイ,日|北琉,,,,,,,,
abura,abura（油）,油 脂 膏,名,,3.5a/b; 平平上 - 0-2-B B-B-B. 江户 HLL,3.5a/b,油、脂、（方言中指某些动植物；琉球语中，「脑髓」用「頭（の）油」（*du(=no)+abura）表达）。,19 | 油.a.n | *abura | 5B || 5131 | 脳.z.n | *zui+abura,abur-a,*abur-a,*abur(a)-a,,,*-a,,,,熱.a|触.p,炙,,分泌物,2,1,0,,,,,abura 阿夫良 (膏),,,,,,,,,アブラ,日|琉,,,,,,,,
aburaage,aburaage（油揚）,油揚,名,,[0（油炸食品）/3（油炸豆腐片）]-[3]-x,,油炸食品（鱼、野菜等）、油炸豆腐片。,,abur-a+age,*abur-a+age,*abur(a)-a+aga-(i)-i,,,*-a+CP-(i)-i,,,炙+上,熱.a|触.p|上.a,炙,,肴,2,1,0,,,,,,,,,,,aburaage,,,アブラアゲ,日|琉,,,,,,,,
aburas-*（溢）,aburas-*（溢）,溢,他动,,,,（琉球）使溢出。,,,*abura-s-,,,,*-s-,,,,溢.a,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
